ID	Info1	Info2	Value1	Value2
L9VWATF	MA	Millenium	14.65	1
71SP7YK	CS	Millenium	26.96	1
ECHAJ2W	MA	Galactica	35.06	0
124P1TS	CS	Galactica	35.70	0
EZ7Y471	CS	Pegasus	39.65	1
2NPRZGL	CS	Hallownest	41.67	0
25SU67W	MA	Scorpion	44.78	1
927A199	MA	Scorpion	60.22	1
W62BE38	CS	Galactica	90.82	0
KT724S8	JK	Panopticon	102.17	0
O7W3C9L	JK	Voyager	102.46	0
3GO75F3	JK	Scorpion	118.37	0
QTC9P9A	CS	Panopticon	139.65	0
X7M25OA	JK	Galactica	156.81	1
E7R711A	JK	Millenium	162.92	1
T9E94M7	MA	Panopticon	177.02	0
W239ZL8	JK	Voyager	190.10	0
Q73AAYS	CS	Hallownest	205.53	0
82S4Z54	MA	Galactica	220.67	1
CY14YR7	JK	Hallownest	231.94	0
84Y5W5Z	CS	Baderna	237.29	0
E83LB21	JK	Pegasus	238.02	0
DJC6JKS	JK	Voyager	249.13	1
858D38U	CS	Panopticon	256.27	0
Z2ZVS9D	MA	Baderna	265.54	1
4KW72U3	JK	Enterprise	271.05	0
W4E8IK4	JK	Panopticon	276.89	0
FYT9D2I	MA	Panopticon	295.92	1
XUM2854	MA	Scorpion	296.21	0
C3JA892	JK	Pegasus	319.04	1
574IS68	MA	Galactica	321.52	0
719WM5T	JK	Millenium	324.66	1
J671H4L	JK	Baderna	331.95	0
B65R15X	JK	Galactica	332.58	0
529MSWZ	JK	Panopticon	335.48	0
1ZWH5O6	CS	Galactica	355.15	0
6P6RYO9	MA	Galactica	366.51	1
K3ZB1AC	MA	Baderna	380.80	1
U2VY487	JK	Enterprise	411.63	1
9GD7ZG6	CS	Baderna	415.07	0
3I2YQD3	JK	Panopticon	417.77	1
SJWG662	MA	Galactica	446.87	1
6M8MD27	JK	Millenium	452.62	1
6W38B78	MA	Hallownest	454.69	1
58B345J	MA	Galactica	455.51	1
HT7L166	JK	Voyager	466.22	0
AV6U94F	MA	Panopticon	472.96	1
T413RV1	CS	Enterprise	485.80	0
94812LO	JK	Scorpion	504.14	1
9UAH312	CS	Voyager	511.72	1
MS31NV5	MA	Baderna	529.64	1
69B6K5N	JK	Baderna	538.58	1
72218L3	MA	Baderna	544.10	1
1568J8W	CS	Voyager	549.86	1
T63X9CQ	JK	Galactica	559.10	0
11FJSXM	MA	Hallownest	562.86	0
D75BG35	MA	Scorpion	562.95	0
9AH4I64	CS	Millenium	577.34	1
O1692RE	JK	Hallownest	577.75	0
C884N72	JK	Galactica	579.07	1
5L1YPQ8	MA	Voyager	594.13	0
8E8W6NB	MA	Millenium	600.83	0
X3JWP11	CS	Galactica	608.79	0
2AUES96	JK	Voyager	610.75	1
4OZB8C1	MA	Galactica	622.85	0
OFMQ826	JK	Pegasus	645.19	0
99R6222	CS	Pegasus	656.63	1
4ETIO2G	JK	Pegasus	661.59	1
F9K7C75	CS	Scorpion	670.82	0
VD7K7UH	MA	Pegasus	681.41	1
3211L51	MA	Millenium	691.93	0
93LCJ8A	JK	Galactica	695.73	0
LO87X81	JK	Scorpion	708.05	1
M654U28	MA	Voyager	728.76	0
VR4D9UH	CS	Scorpion	732.28	1
B81WC2C	JK	Voyager	745.38	1
K18KY3C	MA	Panopticon	764.54	0
SZG361D	JK	Hallownest	788.43	0
D8S73L7	MA	Voyager	806.83	0
28M93JZ	CS	Enterprise	824.16	0
55KNJ9Y	MA	Millenium	828.56	1
9VJFBP9	JK	Galactica	830.25	1
816TCNU	JK	Pegasus	848.55	0
PM31SVE	MA	Enterprise	849.79	0
5TG9666	MA	Enterprise	872.25	0
N578HK2	JK	Millenium	901.19	0
A9ARYY5	CS	Baderna	912.93	0
583T78D	MA	Pegasus	917.15	0
1YE544P	JK	Pegasus	918.65	0
755U412	JK	Baderna	940.52	0
14YO2U3	MA	Scorpion	950.28	1
TTWTW18	JK	Enterprise	954.36	0
3B4JE3J	CS	Baderna	957.61	0
UD9W888	MA	Galactica	964.25	1
N3629XT	MA	Millenium	990.30	0
AYP9KH6	CS	Baderna	993.12	1
I347PS8	JK	Panopticon	1002.51	0
HM16UR7	CS	Millenium	1018.00	0
CZK7YU6	CS	Hallownest	1031.89	1
22T1V14	JK	Scorpion	1033.57	0
557VA37	CS	Panopticon	1038.29	1
71Y85OC	MA	Enterprise	1045.59	1
1F4GZ5D	MA	Panopticon	1049.21	1
JRO4489	JK	Baderna	1053.94	1
76V19RO	JK	Baderna	1056.34	0
8AW68KZ	CS	Voyager	1058.21	1
97SHT65	MA	Pegasus	1065.47	1
FOU424Z	JK	Millenium	1082.66	0
287733V	CS	Enterprise	1089.44	0
83886LS	JK	Scorpion	1096.32	1
4KRJGQF	JK	Millenium	1112.68	1
E6EM53V	JK	Baderna	1120.99	0
4I6VTI2	JK	Scorpion	1131.97	1
I434RK4	MA	Hallownest	1134.18	0
L6PC5SQ	JK	Enterprise	1167.47	1
B9418J5	JK	Baderna	1170.33	0
QO67JN7	JK	Galactica	1197.08	0
DH29P32	CS	Enterprise	1198.29	0
2FRL75Y	CS	Pegasus	1201.68	0
25UU7Q6	MA	Galactica	1203.49	0
W9S73F2	CS	Enterprise	1221.76	1
84S3RU4	MA	Baderna	1222.62	1
IE5ZMW4	JK	Galactica	1224.85	0
P46772X	MA	Galactica	1234.54	1
79189L5	JK	Baderna	1237.79	1
7R13IMG	MA	Panopticon	1240.80	0
442Y593	CS	Millenium	1252.75	1
T23738V	MA	Galactica	1261.03	1
J87T7WY	MA	Baderna	1291.10	0
4M2GU1N	CS	Galactica	1315.11	0
5B781HO	JK	Hallownest	1322.75	0
2B3SO46	JK	Galactica	1325.53	1
4838H58	MA	Pegasus	1335.20	1
4V9866P	MA	Galactica	1338.75	1
8CMW4U9	JK	Panopticon	1367.09	0
49TRRR1	MA	Hallownest	1388.32	1
W43Z686	MA	Pegasus	1400.73	1
P95YZZ4	CS	Galactica	1405.75	1
B129D94	JK	Baderna	1408.81	1
78BUCD7	MA	Pegasus	1416.48	1
Z854544	JK	Panopticon	1429.54	0
597224W	CS	Pegasus	1448.10	0
B6VLWSO	MA	Enterprise	1483.59	0
SU98XN8	JK	Panopticon	1496.02	1
221QEN1	JK	Baderna	1518.29	0
48818LO	JK	Galactica	1524.74	1
68S79Z1	MA	Millenium	1530.85	0
XAV1KPM	CS	Galactica	1531.80	1
V4ZB5M1	MA	Enterprise	1553.91	0
H6HODIN	JK	Galactica	1560.02	0
W49RM1H	CS	Hallownest	1578.75	0
FLU3LFG	JK	Galactica	1586.17	1
N545677	MA	Galactica	1600.00	0
VO34Y37	MA	Pegasus	1607.98	0
AK2SZKE	MA	Galactica	1620.11	0
Y9NS94H	CS	Voyager	1627.78	1
45K5229	CS	Scorpion	1634.35	0
219GN3A	CS	Galactica	1638.19	0
72KULX5	MA	Hallownest	1652.56	0
8OQ4C47	MA	Galactica	1653.56	1
C4QEB6T	JK	Galactica	1664.19	0
XX79BYM	JK	Scorpion	1673.73	0
YT16H74	MA	Voyager	1678.86	1
XJ5L721	MA	Panopticon	1685.06	1
427CN5V	CS	Pegasus	1694.71	1
LVOB265	CS	Millenium	1717.41	0
71F51P4	JK	Galactica	1727.43	0
MNY6WV7	MA	Enterprise	1742.04	0
37Y211Q	JK	Galactica	1746.31	1
9MM2I28	MA	Galactica	1747.89	0
5OLKXCU	CS	Voyager	1749.99	0
ET82Q19	JK	Scorpion	1755.49	0
QJ7342M	MA	Millenium	1762.85	1
75XUCHA	CS	Hallownest	1764.56	1
P658159	MA	Pegasus	1765.06	1
3542S96	MA	Galactica	1790.46	1
1991J3E	JK	Galactica	1796.21	0
3K4HI97	CS	Panopticon	1823.03	1
8PNWBMZ	CS	Galactica	1830.09	1
4996O34	JK	Galactica	1841.63	1
NHG31PC	JK	Millenium	1856.63	0
H74G683	CS	Galactica	1862.62	1
C8OA6T3	MA	Hallownest	1872.90	0
8PCACYX	JK	Baderna	1876.60	1
FA9DGI1	MA	Panopticon	1879.40	1
R455K3M	CS	Pegasus	1881.97	0
46T6825	MA	Pegasus	1883.78	1
P545K7K	MA	Galactica	1896.39	1
3S47623	MA	Hallownest	1904.89	1
R9NN7DG	MA	Voyager	1909.67	1
H41HME2	CS	Enterprise	1911.34	1
58726D4	MA	Voyager	1922.13	0
3N9P1SE	MA	Scorpion	1935.78	0
V8834P4	JK	Baderna	1960.87	1
5EQC5F3	MA	Pegasus	1968.31	0
741M7A3	JK	Galactica	1972.52	1
AOSD94U	MA	Scorpion	1982.53	0
2N3EW4F	CS	Galactica	1990.65	1
E41P65T	JK	Baderna	1998.41	1
7336XCV	CS	Galactica	2023.87	1
63993KF	MA	Hallownest	2027.22	1
7SUC5B6	MA	Scorpion	2034.01	1
18J9ZL1	MA	Hallownest	2045.60	1
M3S753J	MA	Voyager	2046.97	0
25XN4O4	CS	Millenium	2083.67	1
DP45623	MA	Hallownest	2114.89	1
2C9O2UR	MA	Voyager	2115.24	1
ANTMF8U	CS	Scorpion	2118.42	1
G517GZ8	MA	Pegasus	2125.66	1
5PVST9R	MA	Pegasus	2141.52	1
FT671EB	JK	Millenium	2143.60	0
3ZGMIHB	JK	Baderna	2145.10	0
Y3929KU	MA	Millenium	2149.81	1
9OC6YB8	MA	Galactica	2165.31	1
53QS8RR	MA	Panopticon	2167.33	1
916115U	MA	Pegasus	2187.99	0
V18M9XR	JK	Enterprise	2198.07	0
8JAAOW9	CS	Galactica	2205.40	1
T13D35C	MA	Panopticon	2212.27	0
YGT95WQ	CS	Scorpion	2216.22	1
N527665	JK	Galactica	2238.61	0
83657X6	MA	Galactica	2252.88	0
6M2L853	MA	Panopticon	2252.97	0
QG1H2M1	JK	Galactica	2253.18	1
I8NLAV7	CS	Galactica	2273.25	1
6OL6WJ6	JK	Pegasus	2274.59	1
